cpv_code,table_class,position,index_type,classification,ateco_code,index_description
64210000-1,D2,1,PPS,ATECO,611,Telecomunicazioni fisse
64210000-1,D2,11,PPS,ATECO,612,Telecomunica zioni mobili
65500000-8,D2,1,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
65500000-8,D2,11,IR,ATECO,829,Servizi di supporto alle imprese nca
65500000-8,D2,21,PC,ECOICOP,00ST,indice generale senza tabacchi
71300000-1,D2,1,PPS,ATECO,71,"Attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche"
71300000-1,D2,11,PPS,ATECO,702,Attività di consulenza gestionale
71600000-4,D2,1,PPS,ATECO,702,Attività di consulenza gestionale
71600000-4,D2,11,PPS,ATECO,71,"Attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche"
72500000-0,D2,1,PPS,ATECO,62,"Produzione di software, consulenza informatica e attività connesse"
72500000-0,D2,11,PPS,ATECO,631,"Elaborazione dei dati, hosting e attività connesse, portali web"
75100000-7,D2,1,PC,ECOICOP,00ST,indice generale senza tabacchi
75100000-7,D2,11,PPS,ATECO,702,Attività di consulenza gestionale
75200000-8,D2,1,PC,ECOICOP,00ST,indice generale senza tabacchi
75200000-8,D2,11,PPS,ATECO,702,Attività di consulenza gestionale
79400000-8,D2,1,PPS,ATECO,702,Attività di consulenza gestionale
79400000-8,D2,11,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
79700000-1,D2,1,PPS,ATECO,80,Servizi di vigilanza e investigazione
79700000-1,D2,11,IR,ATECO,80,Servizi di vigilanza e investigazione
79700000-1,D2,21,PC,ECOICOP,00ST,indice generale senza tabacchi
79940000-5,D2,1,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
79940000-5,D2,11,IR,ATECO,829,Servizi di supporto alle imprese nca
79940000-5,D2,21,PC,ECOICOP,00ST,indice generale senza tabacchi
79950000-8,D2,1,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
79950000-8,D2,11,IR,ATECO,823,Organizzazione di convegni e fiere
79950000-8,D2,21,PC,ECOICOP,00ST,indice generale senza tabacchi
79970000-4,D2,1,PPI,ATECO,18,Stampa e riproduzione di supporti registrati
79970000-4,D2,11,IR,ATECO,581,"Edizione di libri, periodici ed altre attività editoriali"
79991000-7,D2,1,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
79991000-7,D2,11,PPS,ATECO,702,Attività di consulenza gestionale
79992000-4,D2,1,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
79992000-4,D2,11,PPS,ATECO,81,Attività di servizi per edifici e paesaggio
79993000-1,D2,1,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
79993000-1,D2,11,PPS,ATECO,81,Attività di servizi per edifici e paesaggio
79996000-2,D2,1,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
79996000-2,D2,11,PPS,ATECO,702,Attività di consulenza gestionale
79997000-9,D2,1,PPS,ATECO,82,Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese
79997000-9,D2,11,PPS,ATECO,791,Attività delle agenzie di viaggio e dei tour operator
85311000-2,D2,1,PC,ECOICOP,12402,Case di cura per anziani e residenze per persone disabili
85311000-2,D2,11,IR,ATECO,87,Servizi di assistenza sociale residenziale
85311000-2,D2,21,PC,ECOICOP,00ST,indice generale senza tabacchi
85312000-9,D2,1,PC,ECOICOP,1240,Assistenza sociale
85312000-9,D2,11,IR,ATECO,88,Assistenza sociale non residenziale
85312000-9,D2,21,PC,ECOICOP,00ST,indice generale senza tabacchi
85321000-5,D2,1,PC,ECOICOP,1240,Assistenza sociale
85321000-5,D2,11,IR,ATECO,88,Assistenza sociale non residenziale
85321000-5,D2,21,PC,ECOICOP,00ST,indice generale senza tabacchi
85322000-2,D2,1,PC,ECOICOP,1240,Assistenza sociale
85322000-2,D2,11,IR,ATECO,88,Assistenza sociale non residenziale
85322000-2,D2,21,PC,ECOICOP,00ST,indice generale senza tabacchi
85323000-9,D2,1,PC,ECOICOP,06,-- servizi sanitari e spese per la salute
85323000-9,D2,11,IR,ATECO,86,Assistenza sanitaria
85323000-9,D2,21,PC,ECOICOP,00ST,indice generale senza tabacchi
90400000-1,D2,1,PC,ECOICOP,0443,Raccolta acque di scarico
90400000-1,D2,11,IR,ATECO,37,Gestione delle reti fognarie
90400000-1,D2,21,PC,ECOICOP,00ST,indice generale senza tabacchi
